baseline,,orange_1,,blue_1,,green_1,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
667,-0.02674374357,667,-0.006042217836,667,-0.01313196123,667,0.4910441339,
666,-0.02680166997,666,-0.006153761875,666,-0.01297612023,666,0.4879108965,
665,-0.0269145295,665,-0.006386203226,665,-0.01279061567,665,0.4862236679,
664,-0.02698571421,664,-0.006538102869,664,-0.01258456241,664,0.4857419729,
663,-0.0271358788,663,-0.006625250448,663,-0.01227419265,663,0.4864060879,
662,-0.02718183771,662,-0.006707537454,662,-0.01194451191,662,0.4879927635,
661,-0.02730583027,661,-0.006856980734,661,-0.011540276,661,0.4903617799,
660,-0.02736611106,660,-0.007051556837,660,-0.01112168562,660,0.4932915568,
659,-0.02741568908,659,-0.007094138768,659,-0.01061807573,659,0.4968134165,
658,-0.02752770856,658,-0.00722053647,658,-0.009934032336,658,0.5006632209,
657,-0.02756113932,657,-0.007300165482,657,-0.009162184782,657,0.5045693517,
656,-0.02761069685,656,-0.007409707643,656,-0.008332592435,656,0.5083714724,
655,-0.02764086612,655,-0.007473068777,655,-0.00735911401,655,0.511988163,
654,-0.02767657116,654,-0.007525532041,654,-0.006258286536,654,0.5152693391,
653,-0.02773233131,653,-0.00759905111,653,-0.004934971686,653,0.5179690123,
652,-0.02775083669,652,-0.007677389774,652,-0.003426896408,652,0.5199171901,
651,-0.02775316685,651,-0.007682883181,651,-0.001778601902,651,0.5211447477,
650,-0.02778454125,650,-0.007720571943,650,0.0002592735691,650,0.5214669704,
649,-0.02780552022,649,-0.007747069001,649,0.002592644421,649,0.5207905173,
648,-0.02781396918,648,-0.007756578736,648,0.005211155396,648,0.5190438628,
647,-0.02778327838,647,-0.007754748221,647,0.008182454854,647,0.5161887407,
646,-0.02775598504,646,-0.007686799392,646,0.0116730528,646,0.5120790601,
645,-0.02771907113,645,-0.00767911924,645,0.01564594172,645,0.5068795681,
644,-0.02770639397,644,-0.007670624647,644,0.02017887868,644,0.5005540252,
643,-0.02765568346,643,-0.007609836292,643,0.02541473694,643,0.4930704236,
642,-0.02765485644,642,-0.007505381946,642,0.03137305751,642,0.4845751226,
641,-0.02757804841,641,-0.007446758449,641,0.03821048141,641,0.4750557542,
640,-0.02753310278,640,-0.00737214461,640,0.04603914544,640,0.4645842612,
639,-0.02744645625,639,-0.00726768421,639,0.05498199537,639,0.4534299374,
638,-0.02735857479,638,-0.007102441043,638,0.06525918096,638,0.4413517416,
637,-0.0272690244,637,-0.007015032694,637,0.07688864321,637,0.4288750291,
636,-0.02718154714,636,-0.006878994871,636,0.0901876837,636,0.415707916,
635,-0.02709983848,635,-0.006744647864,635,0.10519398,635,0.4022494256,
634,-0.02699977532,634,-0.006607251242,634,0.122209765,634,0.3886316717,
633,-0.02693983167,633,-0.006461598445,633,0.14168486,633,0.3745268881,
632,-0.02685837075,632,-0.006331510376,632,0.1634621322,632,0.3605861068,
631,-0.0267635081,631,-0.006203322671,631,0.1880327612,631,0.3466707766,
630,-0.02664720081,630,-0.006113691255,630,0.2154472172,630,0.3328841925,
629,-0.02657172456,629,-0.005977728404,629,0.2461529374,629,0.319331944,
